Date,Price,Open,High,Low,Vol.,Change %
1/11/2023,"15,480.00","15,565.00","15,575.00","15,470.00",0.26K,-0.58%
1/12/2023,"15,336.00","15,470.00","15,470.00","15,290.00",,-0.93%
1/13/2023,"15,140.00","15,210.00","15,237.50","15,135.50",,-1.28%
1/16/2023,"15,040.00","15,080.00","15,080.00","14,981.50",,-0.66%
1/17/2023,"15,160.00","15,125.00","15,180.00","15,027.50",,0.80%
1/18/2023,"15,085.00","15,200.00","15,207.50","15,070.00",,-0.49%
1/19/2023,"15,100.00","15,135.00","15,145.00","15,089.00",,0.10%
1/20/2023,"15,070.00","15,120.00","15,155.00","15,075.00",,-0.20%
1/24/2023,"14,885.00","15,035.00","15,045.00","14,884.00",,-1.23%
1/25/2023,"14,960.00","14,925.00","14,975.00","14,915.00",,0.50%
1/26/2023,"14,945.00","14,965.00","14,987.50","14,920.00",,-0.10%
1/27/2023,"14,980.00","14,970.00","14,996.00","14,953.50",,0.23%
1/30/2023,"14,965.00","14,972.50","14,989.00","14,954.50",,-0.10%
1/31/2023,"14,985.00","15,000.00","15,005.00","14,971.50",,0.13%
2/1/2023,"14,970.00","15,000.00","15,007.50","14,966.00",,-0.10%
2/2/2023,"14,875.00","14,875.00","14,887.50","14,835.00",,-0.63%
2/3/2023,"14,890.00","14,905.00","14,922.50","14,876.50",,0.10%
2/6/2023,"15,050.00","15,005.00","15,072.50","15,005.00",,1.07%
2/7/2023,"15,140.00","15,142.50","15,153.00","15,121.50",,0.60%
2/8/2023,"15,095.00","15,145.00","15,152.50","15,098.50",,-0.30%
2/9/2023,"15,090.00","15,115.00","15,130.00","15,094.50",,-0.03%
2/10/2023,"15,130.00","15,117.50","15,147.50","15,114.00",,0.27%
2/13/2023,"15,190.00","15,170.00","15,227.50","15,170.00",,0.40%
2/14/2023,"15,155.00","15,175.00","15,197.50","15,151.50",,-0.23%
2/15/2023,"15,200.00","15,167.50","15,207.50","15,157.00",,0.30%
2/16/2023,"15,153.00","15,210.00","15,210.00","15,150.00",,-0.31%
2/17/2023,"15,200.00","15,177.50","15,217.50","15,172.00",,0.31%
2/20/2023,"15,155.00","15,197.50","15,200.00","15,154.50",,-0.30%
2/21/2023,"15,185.00","15,162.50","15,193.50","15,160.00",,0.20%
2/22/2023,"15,200.00","15,210.00","15,229.00","15,201.50",,0.10%
2/23/2023,"15,185.00","15,175.00","15,196.00","15,164.00",,-0.10%
2/24/2023,"15,220.00","15,205.00","15,225.00","15,193.00",,0.23%
2/27/2023,"15,265.00","15,260.00","15,287.50","15,245.00",,0.30%
2/28/2023,"15,245.00","15,230.00","15,295.00","15,225.00",,-0.13%
3/1/2023,"15,230.00","15,240.00","15,265.00","15,228.50",,-0.10%
3/2/2023,"15,275.00","15,265.00","15,286.00","15,249.00",,0.30%
3/3/2023,"15,295.00","15,300.00","15,321.50","15,282.50",,0.13%
3/6/2023,"15,290.00","15,315.00","15,320.00","15,285.00",,-0.03%
3/7/2023,"15,345.00","15,350.00","15,367.50","15,330.00",,0.36%
3/8/2023,"15,430.00","15,425.00","15,467.50","15,389.50",,0.55%
3/9/2023,"15,420.00","15,445.00","15,457.50","15,422.50",,-0.06%
3/10/2023,"15,445.00","15,475.00","15,480.00","15,450.00",,0.16%
3/13/2023,"15,360.00","15,445.00","15,452.50","15,357.50",,-0.55%
3/14/2023,"15,380.00","15,385.00","15,405.00","15,361.50",,0.13%
3/15/2023,"15,360.00","15,370.00","15,380.00","15,335.00",,-0.13%
3/16/2023,"15,375.00","15,420.00","15,455.00","15,376.00",,0.10%
3/17/2023,"15,340.00","15,387.50","15,392.50","15,345.00",,-0.23%
3/20/2023,"15,355.00","15,365.00","15,380.00","15,355.00",,0.10%
3/21/2023,"15,340.00","15,345.00","15,360.00","15,334.00",,-0.10%
3/24/2023,"15,150.00","15,165.00","15,207.50","15,145.00",,-1.24%
3/27/2023,"15,155.00","15,190.00","15,192.50","15,156.00",,0.03%
3/28/2023,"15,085.00","15,120.00","15,125.00","15,065.00",,-0.46%
3/29/2023,"15,060.00","15,075.00","15,107.50","15,062.50",,-0.17%
3/30/2023,"15,045.00","15,075.00","15,087.50","15,044.00",,-0.10%
3/31/2023,"14,990.00","14,980.00","14,995.00","14,950.00",,-0.37%
4/3/2023,"14,965.00","15,000.00","15,012.50","14,968.00",,-0.17%
4/4/2023,"14,895.00","14,955.00","14,955.00","14,880.00",,-0.47%
4/5/2023,"14,920.00","14,922.50","14,952.50","14,900.00",,0.17%
4/6/2023,"14,910.00","14,965.00","14,972.50","14,912.50",,-0.07%
4/10/2023,"14,899.00","14,910.00","14,937.50","14,888.50",,-0.07%
4/11/2023,"14,881.00","14,935.00","14,935.00","14,870.00",,-0.12%
4/12/2023,"14,875.00","14,887.50","14,907.50","14,837.50",,-0.04%
4/13/2023,"14,750.00","14,840.00","14,847.50","14,744.50",,-0.84%
4/14/2023,"14,695.00","14,695.00","14,705.00","14,645.00",,-0.37%
4/17/2023,"14,785.00","14,755.00","14,794.00","14,741.00",,0.61%
4/18/2023,"14,840.00","14,815.00","14,867.50","14,810.00",,0.37%
4/26/2023,"14,830.00","14,895.00","14,935.00","14,820.00",,-0.07%
4/27/2023,"14,700.00","14,830.00","14,832.50","14,690.00",,-0.88%
4/28/2023,"14,665.00","14,675.00","14,691.00","14,627.50",,-0.24%
5/2/2023,"14,700.00","14,645.00","14,712.50","14,645.00",,0.24%
5/3/2023,"14,680.00","14,707.50","14,722.50","14,684.00",,-0.14%
5/4/2023,"14,675.00","14,615.00","14,690.00","14,565.00",,-0.03%
5/5/2023,"14,670.00","14,680.00","14,691.50","14,650.00",,-0.03%
5/8/2023,"14,695.00","14,670.00","14,721.50","14,665.00",,0.17%
5/9/2023,"14,725.00","14,750.00","14,772.50","14,730.00",,0.20%
5/10/2023,"14,720.00","14,752.50","14,760.00","14,725.00",,-0.03%
